Name,Value
Schedule,FR40
Environment,Chamber3 [3]
Date/Time,05/06/2017 2:56:39 PM
Database,Keith PR 4
SessionId,321
Index,0
Version,N/A
MachineName,CI23863-4
SGuid,
Animal ID,D326
Application_Version,ABET II Touch 2.18.5399.28297
Group ID,NL1_4 PR
Max_Number_Trials,30
Max_Schedule_Time,3600
Notes,FR40_2
Schedule_Description,Training to touch the image
Schedule_Start_Time,2017-06-05T14:56:42.009

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,3,Sound #1,5,Sound #2,6,Sound #3,7,,,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Blank_Touch_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,CENTRE_TOUCHES_DURING_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct_Grid_Position,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Feeder_Pulse_Time,,0,1,Value,800,,,,,,,,
0,16,Variable Event,First_Trial,,0,1,Value,1,,,,,,,,
0,16,Variable Event,FIXED_RATIO,,0,1,Value,40,,,,,,,,
0,16,Variable Event,FIXED_RATIO_COUNTER,,0,1,Value,0,,,,,,,,
0,16,Variable Event,FR_BLOCKS_COMPLETED,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_1_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_2_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_4_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_5_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Houselight_Normally_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_Grid_Position,,0,1,Value,0,,,,,,,,
0,16,Variable Event,ITI,,0,1,Value,0.5,,,,,,,,
0,16,Variable Event,ITI_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Left,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Left_Touches_during_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,reward_new_trial_delay,,0,1,Value,4.5,,,,,,,,
0,16,Variable Event,Reward_New_Trial_Delay_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Reward_Tone_Duration,,0,1,Value,1000,,,,,,,,
0,16,Variable Event,Right,,0,1,Value,2,,,,,,,,
0,16,Variable Event,Right_touches_during_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Touch_tone_duration,,0,1,Value,20,,,,,,,,
