Name,Value,,,,,,,,,,,,,,,
Schedule,PosnerExogenous_probe_tone,,,,,,,,,,,,,,,
Environment,Chamber4 [4],,,,,,,,,,,,,,,
Date/Time,13/07/2019 18:36,,,,,,,,,,,,,,,
Database,TEST,,,,,,,,,,,,,,,
SessionId,1051,,,,,,,,,,,,,,,
Index,0,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMBD-03541-W,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,999,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 18.11.01.0,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,0,,,,,,,,,,,,,,,
Schedule_Start_Time,2019-07-13T18:36:55.200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,4,Sound #1,5,Sound #2,6,Sound #3,7,Feeder #2,8,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A1Sound1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A2Sound2,,0,1,Value,1,,,,,,,,
0,16,Variable Event,A3Sound3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Accuracy_NoAE,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aCounter_NoAE,,0,1,Value,0,,,,,,,,
0,16,Variable Event,After_Reward_Pause,,0,1,Value,2,,,,,,,,
0,16,Variable Event,After_Reward_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,All_Trials_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Analysed,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Anticipation_Error,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aTone_Set,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aTrial_Set,,0,1,Value,0,,,,,,,,
0,16,Variable Event,CentralStimulus_Position,,0,1,Value,4,,,,,,,,
0,16,Variable Event,Change_Hold_Time,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Correct_Percent,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Cue_Position,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Cue_Time,,0,1,Value,0.15,,,,,,,,
0,16,Variable Event,Cue_Time_Adjuster,,0,1,Value,0.15,,,,,,,,
0,16,Variable Event,Feeder_Pulse_Time,,0,1,Value,280,,,,,,,,
0,16,Variable Event,First_Analysis,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Hold_Failure_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Hold_Success_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Hold_Time,,0,1,Value,0.175,,,,,,,,
0,16,Variable Event,Hold_Time_Adjuster,,0,1,Value,0.175,,,,,,,,
0,16,Variable Event,Hold_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Houselight_Normally_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_Position,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Increment_this_trial,,0,1,Value,1,,,,,,,,
0,16,Variable Event,ITI,,0,1,Value,5,,,,,,,,
0,16,Variable Event,ITI_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Max_Hold_Time,,0,1,Value,0.2,,,,,,,,
0,16,Variable Event,Max_No_AE,,0,1,Value,120,,,,,,,,
0,16,Variable Event,Min_Hold_Time,,0,1,Value,0.175,,,,,,,,
0,16,Variable Event,Omission_MTTime,,0,1,Value,2.5,,,,,,,,
0,16,Variable Event,Omission_RTTime,,0,1,Value,1.5,,,,,,,,
0,16,Variable Event,PunishAnticipationError,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Reward_counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,SkipTrial_inc,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Starting_Validity,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Target_Position,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Target_Time,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Target_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Time_Out,,0,1,Value,5,,,,,,,,
0,16,Variable Event,Time_Out_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Timeout,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Tone_Cue,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Tone_Duration,,0,1,Value,1000,,,,,,,,
0,16,Variable Event,Tray_Light_Pulse,,0,1,Value,2000,,,,,,,,
0,16,Variable Event,Trial_Counter_Min_Hold,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Trial_Type,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Validity,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_AnticipationError_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_Incorrect_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zz_Omission_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zzMT_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,zzRT_Timer,,0,1,Value,0,,,,,,,,
0,37,Image List Definition,Background,,0,1,Posner task,5,,,,,,,,
0,36,List Array - Write,Background,,0,1,Image 1,1,,,,,,,,
0,17,List Change - Set,Background,,0,2,Index,1,Value,1,,,,,,
0,22,List Array - Write,First_10_Tone_Cue,,0,5,Item #1,0,Item #2,0,Item #3,0,Item #4,0,Item #5,0
0,22,List Array - Write,First_10_Tone_Cue,,0,5,Item #6,1,Item #7,1,Item #8,1,Item #9,1,Item #10,1
0,17,List Change - Set,First_10_Tone_Cue,,0,2,Index,10,Value,1,,,,,,
