Name,Value,,,,,,,,,,,,,,,
Schedule Name,PosnerEndogenous_Training1_50,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
Environment,Chamber4 [4],,,,,,,,,,,,,,,
Machine Name,CI24658-9,,,,,,,,,,,,,,,
Date/Time,08/26/2018 12:45:20,,,,,,,,,,,,,,,
Database,Tina,,,,,,,,,,,,,,,
Schedule Run ID,148,,,,,,,,,,,,,,,
Finalized,No,,,,,,,,,,,,,,,
Record Count,14207,,,,,,,,,,,,,,,
Animal ID,32,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 2.20.6086.26217,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,3600,,,,,,,,,,,,,,,
Schedule_Start_Time,2018-08-26T12:45:20.504,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,3,Sound #1,5,Sound #2,6,Sound #3,7,,,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A1Sound1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A2Sound2,,0,1,Value,1,,,,,,,,
0,16,Variable Event,A3Sound3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,After_Reward_Pause,,0,1,Value,2,,,,,,,,
0,16,Variable Event,After_Reward_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,All_Trials_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Analysed,,0,1,Value,1,,,,,,,,
0,16,Variable Event,AnticipationTime,,0,1,Value,0.1,,,,,,,,
0,16,Variable Event,aTrial_Set,,0,1,Value,0,,,,,,,,
0,16,Variable Event,CatchTrial,,0,1,Value,0,,,,,,,,
0,16,Variable Event,CatchTrial_DelayTime,,0,1,Value,1.26,,,,,,,,
0,16,Variable Event,CatchTrial_DelayTimer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,CentralStimulus_Position,,0,1,Value,4,,,,,,,,
0,16,Variable Event,Centre_touches_during_ITI,,0,1,Value,0,,,,,,,,
