Name,Value,,,,,,,,,,,,,,,
Schedule,Cam 5-choice MouseTouch basic v3,,,,,,,,,,,,,,,
Environment,Chamber2 [2],,,,,,,,,,,,,,,
Date/Time,4/09/2014 13:43,,,,,,,,,,,,,,,
Database,Carlos,,,,,,,,,,,,,,,
SessionId,353,,,,,,,,,,,,,,,
Index,0,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMB6-TS2,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,12,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 2.17.5074.19754,,,,,,,,,,,,,,,
Max_Number_Trials,50,,,,,,,,,,,,,,,
Max_Schedule_Time,3600,,,,,,,,,,,,,,,
Schedule_Description,Basic 5-choice touch serial reaction time task for mice ,,,,,,,,,,,,,,,
Schedule_Start_Time,2014-09-04T13:43:19.824,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
