Name,Value,,,,,,,,,,,,,,,
Schedule,Cam 5-choice MouseTouch basic v3,,,,,,,,,,,,,,,
Environment,Chamber3 [3],,,,,,,,,,,,,,,
Date/Time,3/10/2014 12:56,,,,,,,,,,,,,,,
Database,Carlos,,,,,,,,,,,,,,,
SessionId,549,,,,,,,,,,,,,,,
Index,1,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMB6-TS2,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,17,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 2.17.5074.19754,,,,,,,,,,,,,,,
Max_Number_Trials,50,,,,,,,,,,,,,,,
Max_Schedule_Time,3600,,,,,,,,,,,,,,,
Schedule_Description,Basic 5-choice touch serial reaction time task for mice ,,,,,,,,,,,,,,,
Schedule_Start_Time,2014-10-03T12:56:52.126,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,4,Sound #1,5,Sound #2,6,Sound #3,7,Feeder #2,8,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A1Sound1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A2Sound2,,0,1,Value,1,,,,,,,,
0,16,Variable Event,A3Sound3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Accuracy,,0,1,Value,0,,,,,,,,
0,16,Variable Event,AccuracySub,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Click_Time,,0,1,Value,200,,,,,,,,
0,16,Variable Event,CMPulse,,0,1,Value,280,,,,,,,,
0,16,Variable Event,Correct_Response_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct2,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct4,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct5,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Delay,,0,1,Value,5,,,,,,,,
0,16,Variable Event,Delay_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,FoodPulse,,0,1,Value,280,,,,,,,,
0,16,Variable Event,Houselight_Normally_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_Response_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_to_1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_to_2,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_to_3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_to_4,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Incorrect_to_5,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Initiate_Click_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,ITI,,0,1,Value,5,,,,,,,,
0,16,Variable Event,ITI_Incorr,,0,1,Value,5,,,,,,,,
0,16,Variable Event,ITI_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Limited_Hold_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Limited_Hold_Value,,0,1,Value,7,,,,,,,,
0,16,Variable Event,Location,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Missed_1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Missed_2,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Missed_3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Missed_4,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Missed_5,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Omission_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,OmissionPercent,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Premature_Response_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Premature_Trial,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Punish_Incorrect_Perserverative,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Punish_timeout_response,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Punish_Unclass_Response,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Session,,0,1,Value,10,,,,,,,,
0,16,Variable Event,Session_Index,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Stimulus_Duration,,0,1,Value,2,,,,,,,,
0,16,Variable Event,Stimulus_Duration_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,TimeOut_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,TimeOut_Value,,0,1,Value,5,,,,,,,,
0,16,Variable Event,Tone_Duration,,0,1,Value,1000,,,,,,,,
0,16,Variable Event,Tray_Push_Ends_TO,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Wrong_Tone_Duration,,0,1,Value,500,,,,,,,,
0,16,Variable Event,Wrong_Tone_On,,0,1,Value,0,,,,,,,,
0,22,List Array - Write,Grid_Location,,0,5,Item #1,1,Item #2,1,Item #3,1,Item #4,1,Item #5,2
0,22,List Array - Write,Grid_Location,,0,5,Item #6,2,Item #7,2,Item #8,2,Item #9,3,Item #10,3
0,22,List Array - Write,Grid_Location,,0,5,Item #11,3,Item #12,3,Item #13,4,Item #14,4,Item #15,4
0,22,List Array - Write,Grid_Location,,0,5,Item #16,4,Item #17,5,Item #18,5,Item #19,5,Item #20,5
0,17,List Change - Set,Grid_Location,,0,2,Index,4,Value,1,,,,,,
0,22,List Array - Write,Session_LimitedHold,,0,5,Item #1,37,Item #2,21,Item #3,13,Item #4,9,Item #5,7
0,22,List Array - Write,Session_LimitedHold,,0,5,Item #6,6.8,Item #7,6.6,Item #8,6.4,Item #9,6.2,Item #10,6
0,22,List Array - Write,Session_LimitedHold,,0,1,Item #11,5.8,,,,,,,,
0,17,List Change - Set,Session_LimitedHold,,0,2,Index,1,Value,37,,,,,,
0,22,List Array - Write,Session_SimDur,,0,5,Item #1,32,Item #2,16,Item #3,8,Item #4,4,Item #5,2
0,22,List Array - Write,Session_SimDur,,0,5,Item #6,1.8,Item #7,1.6,Item #8,1.4,Item #9,1.2,Item #10,1
0,22,List Array - Write,Session_SimDur,,0,1,Item #11,0.8,,,,,,,,
0,17,List Change - Set,Session_SimDur,,0,2,Index,1,Value,32,,,,,,
0,37,Image List Definition,v_Lamp,,0,1,Bussey Mouse Operant Mode 5 x 1 x low,6,,,,,,,,
0,36,List Array - Write,v_Lamp,,0,2,LampON,1,LampOFF,2,,,,,,
0,17,List Change - Set,v_Lamp,,0,2,Index,1,Value,1,,,,,,
0,0,Schedule Startup Event,(SYSTEM),,0,0,,,,,,,,,,
0,29,Timer Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0.062,1,Condition Event,FreeFood,,0,0,,,,,,,,,,
768.562,3,Output On Event,TrayLight #1,,17,0,,,,,,,,,,
768.562,21,Group Change Event,Group Change,,17,1,New Group,13,,,,,,,,
768.937,39,Input Transition Off Event,BIRBeam #1,,13,0,,,,,,,,,,
769.155,38,Input Transition On Event,FIRBeam #1,,13,0,,,,,,,,,,
770.258,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,,,,,,,
770.736,38,Input Transition On Event,FIRBeam #1,,13,0,,,,,,,,,,
771.46,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,,,,,,,
771.667,38,Input Transition On Event,BIRBeam #1,,13,0,,,,,,,,,,
772.411,39,Input Transition Off Event,BIRBeam #1,,13,0,,,,,,,,,,
772.772,38,Input Transition On Event,BIRBeam #1,,13,0,,,,,,,,,,
772.869,39,Input Transition Off Event,BIRBeam #1,,13,0,,,,,,,,,,
773.004,38,Input Transition On Event,BIRBeam #1,,13,0,,,,,,,,,,
774.26,38,Input Transition On Event,Tray #1,,13,0,,,,,,,,,,
774.26,1,Condition Event,Tray Push following TO,,13,0,,,,,,,,,,
774.26,4,Output Off Event,Sound #1,,13,0,,,,,,,,,,
774.26,4,Output Off Event,Sound #2,,13,0,,,,,,,,,,
774.26,4,Output Off Event,Sound #3,,13,0,,,,,,,,,,
774.26,7,Pulse Output Event,Sound_On #1,,13,1,Duration,0,,,,,,,,
774.26,21,Group Change Event,Group Change,,13,1,New Group,3,,,,,,,,
774.425,39,Input Transition Off Event,Tray #1,,3,0,,,,,,,,,,
774.425,1,Condition Event,Start Delay,,3,0,,,,,,,,,,
774.425,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
774.425,29,Timer Event,Delay_Timer,,3,1,Value,0,,,,,,,,
774.425,16,Variable Event,Stimulus_Duration_Timer,,3,1,Value,12.864,,,,,,,,
774.425,16,Variable Event,Stimulus_Duration_Timer,,3,1,Value,0,,,,,,,,
774.425,19,List Change - Next Value,Grid_Location,,3,2,Index,13,Value,4,,,,,,
774.425,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
774.442,38,Input Transition On Event,Tray #1,,4,0,,,,,,,,,,
774.72,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
775.233,39,Input Transition Off Event,BIRBeam #1,,4,0,,,,,,,,,,
775.415,38,Input Transition On Event,FIRBeam #1,,4,0,,,,,,,,,,
778.751,39,Input Transition Off Event,FIRBeam #1,,4,0,,,,,,,,,,
779.426,1,Condition Event,Start Trial,,4,0,,,,,,,,,,
779.426,29,Timer Event,Stimulus_Duration_Timer,,4,1,Value,0,,,,,,,,
779.426,29,Timer Event,Limited_Hold_Timer,,4,1,Value,0,,,,,,,,
779.426,16,Variable Event,Location,,4,1,Value,4,,,,,,,,
779.426,32,Whisker - Display Image,Bussey Mouse Operant Mode 5 x 1 x low,v_Lamp,4,2,Position,4,LampON,0,,,,,,
779.426,21,Group Change Event,Group Change,,4,1,New Group,7,,,,,,,,
779.553,38,Input Transition On Event,FIRBeam #1,,7,0,,,,,,,,,,
780.867,39,Input Transition Off Event,FIRBeam #1,,7,0,,,,,,,,,,
781.072,30,Touch Down Event,Bussey Mouse Operant Mode 5 x 1 x low,,7,2,Position,5,LampOFF,1,,,,,,
781.074,1,Condition Event,Incorrect To 5,,7,0,,,,,,,,,,
781.074,16,Variable Event,Incorrect_to_5,,7,1,Value,1,,,,,,,,
781.074,21,Group Change Event,Group Change,,7,1,New Group,10,,,,,,,,
781.074,1,Condition Event,Incorrect Response HL on,,10,0,,,,,,,,,,
781.074,3,Output On Event,HouseLight #1,,10,0,,,,,,,,,,
781.074,3,Output On Event,Sound #1,,10,0,,,,,,,,,,
781.074,3,Output On Event,Sound #2,,10,0,,,,,,,,,,
781.074,3,Output On Event,Sound #3,,10,0,,,,,,,,,,
781.074,7,Pulse Output Event,Sound_On #1,,10,1,Duration,0,,,,,,,,
781.074,32,Whisker - Display Image,Bussey Mouse Operant Mode 5 x 1 x low,v_Lamp,10,2,Position,4,LampOFF,1,,,,,,
781.074,29,Timer Event,TimeOut_Timer,,10,1,Value,0,,,,,,,,
781.074,16,Variable Event,Incorrect_Response_Counter,,10,1,Value,1,,,,,,,,
781.074,16,Variable Event,AccuracySub,,10,1,Value,41,,,,,,,,
781.074,16,Variable Event,Limited_Hold_Timer,,10,1,Value,1.649,,,,,,,,
781.074,16,Variable Event,Limited_Hold_Timer,,10,1,Value,0,,,,,,,,
781.074,16,Variable Event,Accuracy,,10,1,Value,40,,,,,,,,
781.074,16,Variable Event,Accuracy,,10,1,Value,0.976,,,,,,,,
781.074,16,Variable Event,_Trial_Counter,,10,1,Value,41,,,,,,,,
781.074,16,Variable Event,OmissionPercent,,10,1,Value,0,,,,,,,,
781.074,16,Variable Event,OmissionPercent,,10,1,Value,0,,,,,,,,
781.074,21,Group Change Event,Group Change,,10,1,New Group,5,,,,,,,,
781.131,31,Touch Up Event,Bussey Mouse Operant Mode 5 x 1 x low,,5,2,Position,5,LampOFF,1,,,,,,
781.131,30,Touch Down Event,Bussey Mouse Operant Mode 5 x 1 x low,,5,2,Position,5,LampOFF,1,,,,,,
781.132,1,Condition Event,TO Response Unpunished,,5,0,,,,,,,,,,
781.213,31,Touch Up Event,Bussey Mouse Operant Mode 5 x 1 x low,,5,2,Position,5,LampOFF,1,,,,,,
782.683,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
783.047,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
783.098,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
783.426,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
783.726,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
784.57,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
785.927,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
786.075,1,Condition Event,EndTimeOut HL Off,,5,0,,,,,,,,,,
786.075,4,Output Off Event,HouseLight #1,,5,0,,,,,,,,,,
786.075,16,Variable Event,TimeOut_Timer,,5,1,Value,5,,,,,,,,
786.075,16,Variable Event,TimeOut_Timer,,5,1,Value,0,,,,,,,,
786.075,29,Timer Event,ITI_Timer,,5,1,Value,0,,,,,,,,
786.075,21,Group Change Event,Group Change,,5,1,New Group,23,,,,,,,,
786.855,39,Input Transition Off Event,BIRBeam #1,,23,0,,,,,,,,,,
786.946,38,Input Transition On Event,FIRBeam #1,,23,0,,,,,,,,,,
788.233,39,Input Transition Off Event,FIRBeam #1,,23,0,,,,,,,,,,
788.519,38,Input Transition On Event,BIRBeam #1,,23,0,,,,,,,,,,
789.302,39,Input Transition Off Event,BIRBeam #1,,23,0,,,,,,,,,,
789.57,38,Input Transition On Event,BIRBeam #1,,23,0,,,,,,,,,,
790.454,39,Input Transition Off Event,BIRBeam #1,,23,0,,,,,,,,,,
790.736,38,Input Transition On Event,BIRBeam #1,,23,0,,,,,,,,,,
791.075,1,Condition Event,ITI End Following Incorrect,,23,0,,,,,,,,,,
