Name,Value
Schedule,PROGRESSIVE RATIO
Environment,Chamber1 [1]
Date/Time,06/10/2016 01:03:47 p.m.
Database,tom3
SessionId,835
Index,5
Version,N/A
MachineName,KMB6-TS2
SGuid,
Animal ID,27
Application_Version,ABET II Touch 2.17.5074.19754
Max_Number_Trials,0
Max_Schedule_Time,3600
Schedule_Description,PR PROBE
Schedule_Start_Time,2016-10-06T13:03:50.055

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,4,Sound #1,5,Sound #2,6,Sound #3,7,Feeder #2,8,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Blank_Touch_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,CENTRE_TOUCHES_DURING_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct_Grid_Position,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Feeder_Pulse_Time,,0,1,Value,800,,,,,,,,
0,16,Variable Event,First_Trial,,0,1,Value,1,,,,,,,,
0,16,Variable Event,GRID_1_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_2_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_4_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,GRID_5_BLANK_TOUCH,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Houselight_Normally_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,ITI,,0,1,Value,0.5,,,,,,,,
0,16,Variable Event,ITI_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,LAST_PR_COMPLETED,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Left_Touches_during_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,MAG_RESPONSE_TIMER,,0,1,Value,0,,,,,,,,
0,16,Variable Event,PR_BLOCKS_COMPLETED,,0,1,Value,0,,,,,,,,
0,16,Variable Event,PROGRESSIVE_RATIO_COUNTER,,0,1,Value,0,,,,,,,,
0,16,Variable Event,REQUIRED_RATIO,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Response_Period,,0,1,Value,300,,,,,,,,
0,16,Variable Event,Response_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,REWARD_NEXT_TRIAL_DELAY,,0,1,Value,4.5,,,,,,,,
0,16,Variable Event,REWARD_NEXT_TRIAL_TIMER,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Reward_Tone_Duration,,0,1,Value,1000,,,,,,,,
