Name,Value
Schedule,Mouse ICPT Stage 4 30% (S+) VERTICAL
Environment,Chamber3 [3]
Date/Time,20/05/2018 09:23:47
Database,Julia
SessionId,619
Index,13
Version,N/A
MachineName,KMBD-03541-W
SGuid,
Animal ID,3
Application_Version,ABET II Touch 2.20.6086.26217
Max_Schedule_Time,2700
Schedule_Description,Training to touch the image
Schedule_Start_Time,2018-05-20T09:23:50.309

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,4,Sound #1,5,Sound #2,6,Sound #3,7,Feeder #2,8,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A1Sound1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A2Sound2,,0,1,Value,1,,,,,,,,
0,16,Variable Event,A3Sound3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,After_Reward_Pause,,0,1,Value,2,,,,,,,,
0,16,Variable Event,After_Reward_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Blank_Touch_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Centre_Touches_during_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct_Grid_Position,,0,1,Value,2,,,,,,,,
0,16,Variable Event,Correct_Image,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Correction_Trial,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correction_Trial_Correct_Rejections,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correction_Trial_Mistakes,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Current_Image,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Current_ITI,,0,1,Value,2,,,,,,,,
0,16,Variable Event,Feeder_Pulse_Time,,0,1,Value,280,,,,,,,,
0,16,Variable Event,First_Trial,,0,1,Value,1,,,,,,,,
0,16,Variable Event,Houselight_Normally_On,,0,1,Value,0,,,,,,,,
0,16,Variable Event,ITI_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Left_Touches_during_ITI,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Limited_Hold,,0,1,Value,2.5,,,,,,,,
0,16,Variable Event,Limited_Hold_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Max_no_of_rewards,,0,1,Value,100,,,,,,,,
0,16,Variable Event,No_of_correct_rejections,,0,1,Value,0,,,,,,,,
0,16,Variable Event,No_of_hits,,0,1,Value,0,,,,,,,,
0,16,Variable Event,No_of_Misses,,0,1,Value,0,,,,,,,,
0,16,Variable Event,No_of_Mistakes,,0,1,Value,0,,,,,,,,
