Name,Value,,,,,,,,,,,,,,,
Schedule,Cam 5-choice MouseTouch basic v3,,,,,,,,,,,,,,,
Environment,Chamber1 [1],,,,,,,,,,,,,,,
Date/Time,7/10/2014 14:52,,,,,,,,,,,,,,,
Database,Carlos,,,,,,,,,,,,,,,
SessionId,569,,,,,,,,,,,,,,,
Index,27,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMB6-TS2,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,36,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 2.17.5074.19754,,,,,,,,,,,,,,,
Max_Number_Trials,50,,,,,,,,,,,,,,,
Max_Schedule_Time,3600,,,,,,,,,,,,,,,
Schedule_Description,Basic 5-choice touch serial reaction time task for mice ,,,,,,,,,,,,,,,
Schedule_Start_Time,2014-10-07T14:52:09.628,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,28,Input Definition,(SYSTEM),,0,5,Tray #1,0,BIRBeam #1,1,FIRBeam #1,2,RightFIRBeam #1,3,FeederFault #1,4
0,28,Input Definition,(SYSTEM),,0,1,FeederReport #1,5,,,,,,,,
0,27,Output Definition,(SYSTEM),,0,5,HouseLight #1,0,TrayLight #1,1,Feeder #1,2,Sound_On #1,3,White_Noise_Off #1,4
0,27,Output Definition,(SYSTEM),,0,4,Sound #1,5,Sound #2,6,Sound #3,7,Feeder #2,8,,
0,16,Variable Event,_Schedule_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,_Trial_Timer,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A1Sound1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,A2Sound2,,0,1,Value,1,,,,,,,,
0,16,Variable Event,A3Sound3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Accuracy,,0,1,Value,0,,,,,,,,
0,16,Variable Event,AccuracySub,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Click_Time,,0,1,Value,200,,,,,,,,
0,16,Variable Event,CMPulse,,0,1,Value,280,,,,,,,,
0,16,Variable Event,Correct_Response_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct1,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct2,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct3,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct4,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Correct5,,0,1,Value,0,,,,,,,,
0,16,Variable Event,Delay,,0,1,Value,5,,,,,,,,
0,16,Variable Event,Delay_Timer,,0,1,Value,0,,,,,,,,
