0.005,3,Output On Event,TrayLight #1,,2,0,,,,,,,,
0.005,7,Pulse Output Event,Feeder #1,,2,1,Duration,0.28,,,,,,
0.005,16,Variable Event,First_Trial,,2,1,Value,1,,,,,,
0.005,21,Group Change Event,Group Change,,2,1,New Group,3,,,,,,
0.24,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,
0.993,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,
0.993,1,Condition Event,Tray Entry no Increment Trial,,3,0,,,,,,,,
0.993,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,
0.993,4,Output Off Event,Sound #1,,3,0,,,,,,,,
0.993,4,Output Off Event,Sound #2,,3,0,,,,,,,,
0.993,4,Output Off Event,Sound #3,,3,0,,,,,,,,
0.993,7,Pulse Output Event,Sound_On #1,,3,1,Duration,0,,,,,,
0.993,16,Variable Event,Correction_Trial,,3,1,Value,0,,,,,,
0.993,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,
4.011,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,
4.011,1,Condition Event,Start Trial,,4,0,,,,,,,,
4.011,16,Variable Event,Correct_Grid_Position,,4,1,Value,2,,,,,,
4.011,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,
4.011,1,Condition Event,Incorrect Left,,5,0,,,,,,,,
4.011,16,Variable Event,Incorrect_Grid_Position,,5,1,Value,1,,,,,,
4.011,21,Group Change Event,Group Change,,5,1,New Group,6,,,,,,
4.011,1,Condition Event,Display Images,,6,0,,,,,,,,
4.011,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Images,6,2,Position,2,Image 1,0,,,,
4.011,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Images,6,2,Position,1,Image 2,1,,,,
4.011,21,Group Change Event,Group Change,,6,1,New Group,7,,,,,,
12.5,39,Input Transition Off Event,BIRBeam #1,,7,0,,,,,,,,
14.284,38,Input Transition On Event,FIRBeam #1,,7,0,,,,,,,,
14.894,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,7,4,Position,1,Image 2,1,CoordX,135,CoordY,221
14.894,1,Condition Event,Incorrect,,7,0,,,,,,,,
14.894,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,7,2,Position,2,Image 1,0,,,,
14.894,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,7,2,Position,1,Image 1,0,,,,
14.894,3,Output On Event,Sound #1,,7,0,,,,,,,,
14.894,3,Output On Event,Sound #2,,7,0,,,,,,,,
14.894,3,Output On Event,Sound #3,,7,0,,,,,,,,
14.894,7,Pulse Output Event,Sound_On #1,,7,1,Duration,0,,,,,,
14.894,29,Timer Event,Time_Out_Timer,,7,1,Value,0,,,,,,
14.894,21,Group Change Event,Group Change,,7,1,New Group,10,,,,,,
14.894,1,Condition Event,TO Houselight On,,10,0,,,,,,,,
14.894,3,Output On Event,HouseLight #1,,10,0,,,,,,,,
14.894,21,Group Change Event,Group Change,,10,1,New Group,11,,,,,,
14.894,1,Condition Event,Not correcting,,11,0,,,,,,,,
14.894,16,Variable Event,Increment_this_trial,,11,1,Value,1,,,,,,
14.894,21,Group Change Event,Group Change,,11,1,New Group,12,,,,,,
14.894,1,Condition Event,Incorrect Trails to Correction Trial,,12,0,,,,,,,,
14.894,16,Variable Event,Correction_Counter,,12,1,Value,1,,,,,,
14.894,21,Group Change Event,Group Change,,12,1,New Group,18,,,,,,
14.894,1,Condition Event,Change ITI time,,18,0,,,,,,,,
14.894,16,Variable Event,ITI,,18,1,Value,20,,,,,,
14.894,21,Group Change Event,Group Change,,18,1,New Group,13,,,,,,
14.973,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,13,4,Position,1,Image 1,0,CoordX,135,CoordY,204
15.849,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,,,,,
17.387,38,Input Transition On Event,FIRBeam #1,,13,0,,,,,,,,
17.997,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,,,,,
18.252,38,Input Transition On Event,BIRBeam #1,,13,0,,,,,,,,
18.77,38,Input Transition On Event,Tray #1,,13,0,,,,,,,,
19.064,39,Input Transition Off Event,Tray #1,,13,0,,,,,,,,
19.894,1,Condition Event,Time Out End,,13,0,,,,,,,,
19.894,29,Timer Event,ITI_Timer,,13,1,Value,0,,,,,,
19.894,21,Group Change Event,Group Change,,13,1,New Group,14,,,,,,
19.894,1,Condition Event,Reset Houselight off,,14,0,,,,,,,,
19.894,4,Output Off Event,HouseLight #1,,14,0,,,,,,,,
19.894,21,Group Change Event,Group Change,,14,1,New Group,9,,,,,,
39.894,1,Condition Event,Next trial,,9,0,,,,,,,,
